,y,x,mass,size,ecc,signal,raw_mass,ep
1,60.151304347826084,144.85391304347826,165.11567980172327,1.2434174506261921,0.1558704450286023,23.25977402424276,835.0,0.0008778202888169993
2,59.17557251908397,156.04103053435114,300.9412737951409,1.0606601717798212,0.19370072981081865,65.18479880868033,1211.0,0.0006052557711179784
4,60.98448905109489,113.1587591240876,314.72484358728474,1.011340802587388,0.31392101704513753,73.22521452076424,1262.0,0.0005807950669757531
5,62.1402497598463,108.11527377521614,298.9311698671199,1.0501360782779805,0.24576992274992665,64.03616799266834,1246.0,0.0005882534434316049
6,69.25429553264605,58.09278350515464,167.12578372974426,1.2435400084345174,0.15620499320572306,23.546931728245756,841.0,0.0008715571841097818
7,76.61616161616162,81.26363636363637,284.28612696296705,1.1681808355928738,0.18048074587128152,50.252598200524474,1437.0,0.000510062233393196
10,76.59883720930233,103.93992248062015,296.34675053109294,1.2168073615156836,0.06745072447874166,57.14438309659641,1565.0,0.00046834319648480935
12,78.84190476190476,150.06952380952382,301.5155892031469,1.0488088481701516,0.331743182735324,66.0462719206893,1206.0,0.0006077652394609872
16,95.1637630662021,143.6747967479675,247.24278314658042,1.037619897777991,0.2632097572918622,56.57006768859041,1213.0,0.0006042577767193261
19,101.91349480968859,110.83044982698962,248.9657293705984,1.1191939759082616,0.23816453949168673,47.381021160494505,1086.0,0.0006749250687314241
20,106.30551989730424,65.12580231065469,223.69585141833468,1.142031610883315,0.2057116728500865,40.48923626442258,1037.0,0.000706818132578677
22,111.15877712031558,139.98816568047337,291.177911859039,1.057983642860398,0.2956215696357714,62.887537176656345,1183.0,0.0006195820269429771
24,115.32780612244898,93.7015306122449,225.13163993834965,1.1611263005006327,0.16699227401872854,41.063551672428574,1114.0,0.0006579602140254014
25,118.79606625258799,108.18426501035196,277.3943420668951,1.212000040997888,0.4493031007069331,51.11407131253347,1347.0,0.0005441435265602781
26,118.84331797235023,110.70046082949308,249.2528870746014,1.1981168018885897,0.469614716568733,47.668178864497506,1217.0,0.0006022716289094223
28,131.3317167798254,86.73811833171678,296.05959282708994,1.176887014792333,0.21867483853565023,51.97554442454246,1596.0,0.00045924598690483406
29,133.0180412371134,64.7590206185567,222.83437830632568,1.1648857295402832,0.2056074763152531,38.4791323364016,1014.0,0.0007228513784432499
30,135.10611854684512,143.66826003824093,300.3669583871349,1.0476231862383385,0.3282880778427968,66.62058732869531,1243.0,0.0005896732660552366
31,138.96204933586338,102.3045540796964,302.66422001915885,1.1304815853435026,0.31871634793520504,57.4315408005994,1461.0,0.0005016830677867567
32,139.87387387387386,82.31917631917632,223.12153601032867,1.1321895962484738,0.28691631254025823,41.92502478443756,1029.0,0.0007123136151561556
34,140.72857142857143,151.64285714285714,201.0103928020979,1.203566129704317,0.2404640539493817,32.44882055233866,939.0,0.0007805905411654371
39,155.1568998109641,78.80907372400756,151.9064254175854,1.2883071643503525,0.15367965334701375,19.2395661682008,800.0,0.0009162276041719808
40,153.88035126234908,131.596048298573,261.6006683467303,1.1259829222344166,0.3588179286355019,50.826913608530475,1084.0,0.0006761703820109908
